通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CJ1021050131,seasonal,ma_5,否,13,0.1581,0.1581,0.0,40.0,40.0,0.0
CJ1021050141,intermittent,adida,是,16,0.4762,0.15,68.5,80.0,25.2,68.5
CJ1021050142,seasonal,holt_winters,否,24,0.1942,0.0814,58.08,85.0,35.63,58.08
CJ1021050153,intermittent,ma_5,否,13,0.0091,0.0091,0.0,1.0,1.0,0.0
CJ1021050156,intermittent,median_5,否,13,0.6,0.0,100.0,60.0,0.0,100.0
CJ1021050161,seasonal,naive_drift,是,20,0.8611,0.35,59.35,310.0,126.0,59.35
CJ1021050185,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1021050206,sparse,median_5,否,23,0.2542,0.0,100.0,30.0,0.0,100.0
CJ1021050212,intermittent,ma_5,否,16,0.0,0.0,0.0,0.0,0.0,0.0
CJ1021050214,stable,optimized_des,否,13,0.6076,0.1609,73.52,170.0,45.01,73.52
CJ1021050221,intermittent,winsorized,是,13,0.3333,0.0833,75.0,30.0,7.5,75.0
CJ1021050227,intermittent,ma_3,否,13,0.5769,0.1923,66.67,30.0,10.0,66.67
CJ1021050228,intermittent,ma_5,否,20,0.0,0.0,0.0,0.0,0.0,0.0
CJ1021050231,trending,optimized_des,否,13,0.5826,0.1554,73.32,201.0,53.62,73.32
CJ1021050235,intermittent,median_5,否,13,1.7857,1.4286,20.0,100.0,80.0,20.0
CJ1021050249,intermittent,tsb_opt,否,13,0.463,0.1262,72.75,30.0,8.17,72.75
CJ1021050261,intermittent,optimized_ses,否,21,0.3529,0.033,90.66,30.0,2.8,90.66
CJ1021050265,stable,ma_3,否,13,0.1351,0.0225,83.33,100.0,16.67,83.33
CJ1021050274,seasonal,median_5,否,14,0.6098,0.0,100.0,50.0,0.0,100.0
CJ1021050291,seasonal,theta,是,14,0.7418,0.4558,38.56,200.0,122.87,38.56
