通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CJ4142470022,trending,naive_drift,naive_drift,0.0,0.0,0.0,0.0,持平
CJ4142470023,intermittent,ma_5,ma_5,0.1768,0.1768,14.0,14.0,V6.1
CJ4142470039,seasonal,theta,theta,0.0283,0.0283,0.74,0.74,V6.1
CJ5010060070,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ5050000501,all_zero,optimized_ses,optimized_ses,0.226,0.226,38.92,38.92,V6.1
CJ5050000719,intermittent,theta,theta,0.0026,0.0026,0.27,0.27,V6
CJ5050000735,intermittent,croston,croston,0.1255,0.1255,5.52,5.52,V6.1
CJ5050000765,intermittent,ma_5,ma_5,0.0131,0.0131,1.0,1.0,V6
CJ5050000784,intermittent,ma_3,ma_3,0.0858,0.0858,6.0,6.0,V6
CJ5050000794,seasonal,ma_5,ma_5,0.0704,0.0704,2.0,2.0,V6
CJ5050000802,trending,optimized_hw,optimized_hw,0.5527,0.5527,7.63,7.63,V6
CJ5050000869,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ5050000871,seasonal,weighted_ma_5,weighted_ma_5,0.0606,0.0606,0.33,0.33,V6
CJ5050000881,trending,naive_drift,naive_drift,0.0,0.0,0.0,0.0,持平
CJ5050000889,seasonal,theta,theta,0.0933,0.0933,2.02,2.02,V6.1
CJ5050000897,intermittent,median_5,median_5,0.5828,0.5828,19.0,19.0,V6
CJ5050000919,intermittent,croston,croston,0.0466,0.0466,0.41,0.41,V6
CJ5050000999,seasonal,median_5,median_5,0.0104,0.0104,1.0,1.0,V6
CJ5050001005,lumpy,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ5050001013,seasonal,ma_3,ma_3,0.3571,0.3571,2.0,2.0,V6
CJ5050001018,seasonal,seasonal_naive,seasonal_naive,2.234,2.234,21.0,21.0,V6
CJ5050001043,erratic,adida,adida,0.1387,0.1387,3.98,3.98,V6.1
CJ5050001055,stable,seasonal_naive,seasonal_naive,0.3247,0.3247,10.0,10.0,V6.1
CJ5050001071,erratic,theta,theta,0.394,0.394,68.0,68.0,V6.1
CJ5050001091,seasonal,holt_winters,holt_winters,0.0,0.0,0.0,0.0,持平
CJ5050001112,lumpy,ma_5,ma_5,0.1712,0.1712,5.0,5.0,V6
CJ5050001123,seasonal,ma_3,ma_3,0.0081,0.0081,0.33,0.33,V6.1
CJ5050001155,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ5050001156,sparse,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ5050001157,seasonal,optimized_ses,optimized_ses,0.0002,0.0002,0.03,0.03,V6
CJ5050001158,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ5050001159,sparse,ma_3,ma_3,0.0333,0.0333,1.67,1.67,V6
CJ5050001171,lumpy,theta,theta,0.148,0.148,7.05,7.05,V6
CJ5050001191,intermittent,winsorized,winsorized,7.3407,7.3407,37.44,37.44,V6.1
CJ5050001237,seasonal,median_5,median_5,0.087,0.087,11.0,11.0,V6.1
CJ5050001263,intermittent,interval_based,interval_based,0.2439,0.2439,2.0,2.0,V6
CJ5050001266,trending,seasonal_naive,seasonal_naive,2.2222,2.2222,6.0,6.0,V6
CJ5050001352,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ5050001429,seasonal,holt_winters,holt_winters,0.2497,0.2497,4.77,4.77,V6.1
CJ5050120413,lumpy,median_5,median_5,0.625,0.625,3.0,3.0,V6
CJ5050120525,trending,ma_3,ma_3,1.1905,1.1905,3.33,3.33,V6.1
CJ5050120552,lumpy,adida,adida,0.0057,0.0057,0.47,0.47,V6.1
CJ5050240118,intermittent,weighted_ma_5,weighted_ma_5,0.0862,0.0862,1.0,1.0,V6
CJ5050240119,intermittent,winsorized,winsorized,0.4087,0.4087,2.12,2.12,V6.1
CJ5050240126,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ5050270140,intermittent,adida,adida,0.2143,0.2143,0.6,0.6,V6.1
CJ6060010115,intermittent,weighted_ma_5,weighted_ma_5,0.0383,0.0383,866.67,866.67,V6.1
CJ6060020037,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ6060030155,seasonal,optimized_ses,optimized_ses,0.0353,0.0353,15.91,15.91,V6
CJ6060060164,intermittent,winsorized,winsorized,0.0342,0.0342,9.38,9.38,V6
CJ6060060674,seasonal,theta,theta,0.0597,0.0597,5.7,5.7,V6
CJ6060060675,intermittent,ma_3,ma_3,0.0912,0.0912,10.0,10.0,V6
CJ6060060676,intermittent,ma_3,ma_3,0.0998,0.0998,10.0,10.0,V6
