通用码,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
CJ1010007319,0,5,0,5,0,0,0,5,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,0,0
CJ1010007334,0,30,0,20,40,30,0,30,20,60,0,50,20,0,85,0,80,0,35,20,20,0,20,0,20,0,10,0,20,10,50,20,0,20,0,10,10,10,20,10,50,0,10,10,25,0,10,0,20,0,6,0,0,0,10,10
CJ1010007337,0,20,20,0,0,10,30,0,10,30,30,10,0,10,10,10,0,0,0,10,30,0,30,0,0,10,20,0,0,10,0,10,0,20,10,0,0,10,20,10,0,10,0,10,10,10,0,10,10,10,10,0,10,10,10,0
CJ1010007360,5,32,10,0,0,0,0,0,12,0,19,0,0,0,20,0,0,20,5,10,5,0,0,20,0,0,0,0,0,20,0,20,35,0,10,0,0,0,20,0,0,10,0,0,10,10,0,0,30,0,5,0,0,0,0,0
CJ1010007386,0,0,0,0,0,0,0,0,0,30,50,0,0,0,20,20,0,0,30,0,30,0,0,0,30,10,0,20,0,20,0,0,0,30,0,0,20,0,0,20,0,20,0,0,20,30,0,0,50,0,0,0,0,0,0,0
CJ1010007390,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,10,0,0,0,5,10,0,10,0,5,20,10,20,0,0,10,30,0,10,10,10,10,20,0,20,0,0,20,0,15,0,0,8,0,0,37,0,0,35,0,10
CJ1010007452,0,0,0,30,0,0,0,0,0,0,25,0,30,0,0,0,0,0,30,0,20,0,20,0,0,20,0,0,20,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
CJ1010007454,0,0,0,80,0,10,0,0,20,0,0,5,0,20,0,0,0,0,0,0,20,0,30,0,0,20,0,20,40,25,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010007548,0,0,30,0,0,20,0,0,15,0,5,10,0,0,10,0,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CJ1010007576,0,0,10,0,0,11,0,9,15,5,10,10,12,0,2,20,6,0,0,0,25,0,5,20,0,25,0,10,20,5,21,0,0,0,20,20,20,0,19,0,20,20,0,0,20,0,0,30,0,0,20,0,0,0,20,0
CJ1010007591,40,0,0,45,0,0,4,0,0,20,5,0,30,20,0,21,0,0,0,20,0,0,5,20,0,20,20,2,7,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0
CJ1010007647,0,0,0,0,0,15,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,10,0,0,0,0,0,0,0,10,0,0
CJ1010007687,39,10,20,50,0,20,1,25,20,20,5,0,49,10,0,20,5,0,20,20,0,20,0,20,0,25,0,0,25,20,0,0,25,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
CJ1010007782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,0,0,1,10,0,9,0,10,0,0,10,0,0,10,0,0
